# Unicode Characters in the Small Form Variants Block
# Source: http://www.fileformat.info/info/unicode/block/small_form_variants/list.htm
"U+FE50", "\xef\xb9\x90", "SMALL COMMA (U+FE50)"
"U+FE51", "\xef\xb9\x91", "SMALL IDEOGRAPHIC COMMA (U+FE51)"
"U+FE52", "\xef\xb9\x92", "SMALL FULL STOP (U+FE52)"
"U+FE54", "\xef\xb9\x94", "SMALL SEMICOLON (U+FE54)"
"U+FE55", "\xef\xb9\x95", "SMALL COLON (U+FE55)"
"U+FE56", "\xef\xb9\x96", "SMALL QUESTION MARK (U+FE56)"
"U+FE57", "\xef\xb9\x97", "SMALL EXCLAMATION MARK (U+FE57)"
"U+FE58", "\xef\xb9\x98", "SMALL EM DASH (U+FE58)"
"U+FE59", "\xef\xb9\x99", "SMALL LEFT PARENTHESIS (U+FE59)"
"U+FE5A", "\xef\xb9\x9a", "SMALL RIGHT PARENTHESIS (U+FE5A)"
"U+FE5B", "\xef\xb9\x9b", "SMALL LEFT CURLY BRACKET (U+FE5B)"
"U+FE5C", "\xef\xb9\x9c", "SMALL RIGHT CURLY BRACKET (U+FE5C)"
"U+FE5D", "\xef\xb9\x9d", "SMALL LEFT TORTOISE SHELL BRACKET (U+FE5D)"
"U+FE5E", "\xef\xb9\x9e", "SMALL RIGHT TORTOISE SHELL BRACKET (U+FE5E)"
"U+FE5F", "\xef\xb9\x9f", "SMALL NUMBER SIGN (U+FE5F)"
"U+FE60", "\xef\xb9\xa0", "SMALL AMPERSAND (U+FE60)"
"U+FE61", "\xef\xb9\xa1", "SMALL ASTERISK (U+FE61)"
"U+FE62", "\xef\xb9\xa2", "SMALL PLUS SIGN (U+FE62)"
"U+FE63", "\xef\xb9\xa3", "SMALL HYPHEN-MINUS (U+FE63)"
"U+FE64", "\xef\xb9\xa4", "SMALL LESS-THAN SIGN (U+FE64)"
"U+FE65", "\xef\xb9\xa5", "SMALL GREATER-THAN SIGN (U+FE65)"
"U+FE66", "\xef\xb9\xa6", "SMALL EQUALS SIGN (U+FE66)"
"U+FE68", "\xef\xb9\xa8", "SMALL REVERSE SOLIDUS (U+FE68)"
"U+FE69", "\xef\xb9\xa9", "SMALL DOLLAR SIGN (U+FE69)"
"U+FE6A", "\xef\xb9\xaa", "SMALL PERCENT SIGN (U+FE6A)"
"U+FE6B", "\xef\xb9\xab", "SMALL COMMERCIAL AT (U+FE6B)"
