# Unicode Characters in the Halfwidth and Fullwidth Forms Block
# Source: http://www.fileformat.info/info/unicode/block/halfwidth_and_fullwidth_forms/list.htm
"U+FF01", "\xef\xbc\x81", "FULLWIDTH EXCLAMATION MARK (U+FF01)"
"U+FF02", "\xef\xbc\x82", "FULLWIDTH QUOTATION MARK (U+FF02)"
"U+FF03", "\xef\xbc\x83", "FULLWIDTH NUMBER SIGN (U+FF03)"
"U+FF04", "\xef\xbc\x84", "FULLWIDTH DOLLAR SIGN (U+FF04)"
"U+FF05", "\xef\xbc\x85", "FULLWIDTH PERCENT SIGN (U+FF05)"
"U+FF06", "\xef\xbc\x86", "FULLWIDTH AMPERSAND (U+FF06)"
"U+FF07", "\xef\xbc\x87", "FULLWIDTH APOSTROPHE (U+FF07)"
"U+FF08", "\xef\xbc\x88", "FULLWIDTH LEFT PARENTHESIS (U+FF08)"
"U+FF09", "\xef\xbc\x89", "FULLWIDTH RIGHT PARENTHESIS (U+FF09)"
"U+FF0A", "\xef\xbc\x8a", "FULLWIDTH ASTERISK (U+FF0A)"
"U+FF0B", "\xef\xbc\x8b", "FULLWIDTH PLUS SIGN (U+FF0B)"
"U+FF0C", "\xef\xbc\x8c", "FULLWIDTH COMMA (U+FF0C)"
"U+FF0D", "\xef\xbc\x8d", "FULLWIDTH HYPHEN-MINUS (U+FF0D)"
"U+FF0E", "\xef\xbc\x8e", "FULLWIDTH FULL STOP (U+FF0E)"
"U+FF0F", "\xef\xbc\x8f", "FULLWIDTH SOLIDUS (U+FF0F)"
"U+FF10", "\xef\xbc\x90", "FULLWIDTH DIGIT ZERO (U+FF10)"
"U+FF11", "\xef\xbc\x91", "FULLWIDTH DIGIT ONE (U+FF11)"
"U+FF12", "\xef\xbc\x92", "FULLWIDTH DIGIT TWO (U+FF12)"
"U+FF13", "\xef\xbc\x93", "FULLWIDTH DIGIT THREE (U+FF13)"
"U+FF14", "\xef\xbc\x94", "FULLWIDTH DIGIT FOUR (U+FF14)"
"U+FF15", "\xef\xbc\x95", "FULLWIDTH DIGIT FIVE (U+FF15)"
"U+FF16", "\xef\xbc\x96", "FULLWIDTH DIGIT SIX (U+FF16)"
"U+FF17", "\xef\xbc\x97", "FULLWIDTH DIGIT SEVEN (U+FF17)"
"U+FF18", "\xef\xbc\x98", "FULLWIDTH DIGIT EIGHT (U+FF18)"
"U+FF19", "\xef\xbc\x99", "FULLWIDTH DIGIT NINE (U+FF19)"
"U+FF1A", "\xef\xbc\x9a", "FULLWIDTH COLON (U+FF1A)"
"U+FF1B", "\xef\xbc\x9b", "FULLWIDTH SEMICOLON (U+FF1B)"
"U+FF1C", "\xef\xbc\x9c", "FULLWIDTH LESS-THAN SIGN (U+FF1C)"
"U+FF1D", "\xef\xbc\x9d", "FULLWIDTH EQUALS SIGN (U+FF1D)"
"U+FF1E", "\xef\xbc\x9e", "FULLWIDTH GREATER-THAN SIGN (U+FF1E)"
"U+FF1F", "\xef\xbc\x9f", "FULLWIDTH QUESTION MARK (U+FF1F)"
"U+FF20", "\xef\xbc\xa0", "FULLWIDTH COMMERCIAL AT (U+FF20)"
"U+FF21", "\xef\xbc\xa1", "FULLWIDTH LATIN CAPITAL LETTER A (U+FF21)"
"U+FF22", "\xef\xbc\xa2", "FULLWIDTH LATIN CAPITAL LETTER B (U+FF22)"
"U+FF23", "\xef\xbc\xa3", "FULLWIDTH LATIN CAPITAL LETTER C (U+FF23)"
"U+FF24", "\xef\xbc\xa4", "FULLWIDTH LATIN CAPITAL LETTER D (U+FF24)"
"U+FF25", "\xef\xbc\xa5", "FULLWIDTH LATIN CAPITAL LETTER E (U+FF25)"
"U+FF26", "\xef\xbc\xa6", "FULLWIDTH LATIN CAPITAL LETTER F (U+FF26)"
"U+FF27", "\xef\xbc\xa7", "FULLWIDTH LATIN CAPITAL LETTER G (U+FF27)"
"U+FF28", "\xef\xbc\xa8", "FULLWIDTH LATIN CAPITAL LETTER H (U+FF28)"
"U+FF29", "\xef\xbc\xa9", "FULLWIDTH LATIN CAPITAL LETTER I (U+FF29)"
"U+FF2A", "\xef\xbc\xaa", "FULLWIDTH LATIN CAPITAL LETTER J (U+FF2A)"
"U+FF2B", "\xef\xbc\xab", "FULLWIDTH LATIN CAPITAL LETTER K (U+FF2B)"
"U+FF2C", "\xef\xbc\xac", "FULLWIDTH LATIN CAPITAL LETTER L (U+FF2C)"
"U+FF2D", "\xef\xbc\xad", "FULLWIDTH LATIN CAPITAL LETTER M (U+FF2D)"
"U+FF2E", "\xef\xbc\xae", "FULLWIDTH LATIN CAPITAL LETTER N (U+FF2E)"
"U+FF2F", "\xef\xbc\xaf", "FULLWIDTH LATIN CAPITAL LETTER O (U+FF2F)"
"U+FF30", "\xef\xbc\xb0", "FULLWIDTH LATIN CAPITAL LETTER P (U+FF30)"
"U+FF31", "\xef\xbc\xb1", "FULLWIDTH LATIN CAPITAL LETTER Q (U+FF31)"
"U+FF32", "\xef\xbc\xb2", "FULLWIDTH LATIN CAPITAL LETTER R (U+FF32)"
"U+FF33", "\xef\xbc\xb3", "FULLWIDTH LATIN CAPITAL LETTER S (U+FF33)"
"U+FF34", "\xef\xbc\xb4", "FULLWIDTH LATIN CAPITAL LETTER T (U+FF34)"
"U+FF35", "\xef\xbc\xb5", "FULLWIDTH LATIN CAPITAL LETTER U (U+FF35)"
"U+FF36", "\xef\xbc\xb6", "FULLWIDTH LATIN CAPITAL LETTER V (U+FF36)"
"U+FF37", "\xef\xbc\xb7", "FULLWIDTH LATIN CAPITAL LETTER W (U+FF37)"
"U+FF38", "\xef\xbc\xb8", "FULLWIDTH LATIN CAPITAL LETTER X (U+FF38)"
"U+FF39", "\xef\xbc\xb9", "FULLWIDTH LATIN CAPITAL LETTER Y (U+FF39)"
"U+FF3A", "\xef\xbc\xba", "FULLWIDTH LATIN CAPITAL LETTER Z (U+FF3A)"
"U+FF3B", "\xef\xbc\xbb", "FULLWIDTH LEFT SQUARE BRACKET (U+FF3B)"
"U+FF3C", "\xef\xbc\xbc", "FULLWIDTH REVERSE SOLIDUS (U+FF3C)"
"U+FF3D", "\xef\xbc\xbd", "FULLWIDTH RIGHT SQUARE BRACKET (U+FF3D)"
"U+FF3E", "\xef\xbc\xbe", "FULLWIDTH CIRCUMFLEX ACCENT (U+FF3E)"
"U+FF3F", "\xef\xbc\xbf", "FULLWIDTH LOW LINE (U+FF3F)"
"U+FF40", "\xef\xbd\x80", "FULLWIDTH GRAVE ACCENT (U+FF40)"
"U+FF41", "\xef\xbd\x81", "FULLWIDTH LATIN SMALL LETTER A (U+FF41)"
"U+FF42", "\xef\xbd\x82", "FULLWIDTH LATIN SMALL LETTER B (U+FF42)"
"U+FF43", "\xef\xbd\x83", "FULLWIDTH LATIN SMALL LETTER C (U+FF43)"
"U+FF44", "\xef\xbd\x84", "FULLWIDTH LATIN SMALL LETTER D (U+FF44)"
"U+FF45", "\xef\xbd\x85", "FULLWIDTH LATIN SMALL LETTER E (U+FF45)"
"U+FF46", "\xef\xbd\x86", "FULLWIDTH LATIN SMALL LETTER F (U+FF46)"
"U+FF47", "\xef\xbd\x87", "FULLWIDTH LATIN SMALL LETTER G (U+FF47)"
"U+FF48", "\xef\xbd\x88", "FULLWIDTH LATIN SMALL LETTER H (U+FF48)"
"U+FF49", "\xef\xbd\x89", "FULLWIDTH LATIN SMALL LETTER I (U+FF49)"
